strategy text;item
Ich mache alles selber.;1
Ich frage ihn, warum er das nicht geschafft hat.;1
Ich mache Sport.;1
Ich zögere den Zeitplan hinaus.;1
Ich schaue mir eine Serie an.;1
Ich rede mit einem anderen Freund darüber.;1
Ich verachte den Kollegen und zahl es ihm heim.;1
Ich schiebe die Schuld auf ihn.;1
Ich lasse die Information einfach weg.;1
Kollege konfrontieren;1
Information selbst einholen;1
andere Kollegen fragen die Information zu erlangen;1
Problem ignorieren und Schuld auf Kollegen schieben wenn Aufgabe nicht erledigt wurde;1
Zeitplan neu aufstellen;1
Kollege mit Strafe drohen;1
Gefuehle der anderen Person mitteilen;1
Dampf ablassen: - Sport, Schreiben, bzw … Hobbies nachgehen;1
Ablenkung: Film schauen;1
eine Person, der man vertraut davon erzaehlen;1
Tagebuch schreiben;1
Im Wald spazieren gehen (Natur);1
Perspektiven wechseln: wie schlimm werde ich es in 2-3 Monaten;1
Kollegen dabei helfen;1
Ablenken;1
Informationen selber suchen;1
koerperliches Training;1
Ich finde Loesungen unabhaengig von diesem Kollegen.;1
Ich sage ihm was los ist und wie ich empfinde.;1
Ich mache meinem Aerger ihm gegenueber Luft.;1
Ich aendere zukuenftige Plaene, sodass sie moeglichst ohne diesen Kollegen funktionieren.;1
Hilfe anbieten;1
fruehere Zeit ansetzen;1
Atemuebungen machen;1
Kontakt halten > nach Standpunkt fragen;1
mit ihm reden, woran es gescheitert ist;1
selber vorarbeiten;1
mit Humor nehmen;1
es gibt Schlimmeres;1
Situation analysieren > kann mir auch passieren;1
Ich kann ihm bei seiner Aufgabe helfen, die zur besagten Info fuehrt.;1
Ich kann die Situation meinem Chef erklaeren.;1
Ich kann meinen Zeitplan ein wenig aendern.;1
Ich kann eine andere Arbeit stattdessen erledigen.;1
Ich gehe an die frische Luft um runterzukommen.;1
Ich gehe zum Sport um den Aerger rauszulassen.;1
dem Kollegen helfen;1
selbst recherchieren;1
Pause machen & spaeter weitermachen;1
Konstruktive Kritik an Kollegen weitergeben;1
Falls er immer zu spaet dran ist mit jmd anderem zusammenarbeiten;1
Kollegen beraten wie man produktiver arbeiten kann;1
Dinge machen fuer die man normalerweise zu wenig Freizeit hat  ;1
ich recherchiere mir selbst die richtige Information;1
ich nehme mir einen anderen Zeitplan vor;1
ich entspanne mich und sage mir, dass nicht immer alles klappen kann;1
ich arbeite mit einem anderen Kollegen weiter am Projekt;1
ich lasse den Kollegen wissen wie veraergert ich bin;1
ich bete meinen Kollegen, dass er in Zukunft besser organisiert sein sollte ;1
Ruhig bleiben, Wut bringt mich nicht weiter;1
Versuchen, selber an die Info zu kommen;1
Fragen, warum nicht, koennte plausible Gruende (haben) geben;1
Erklaeren, dass er es das naechste Mal frueher anfangen soll bzw. An andere denken muss.;1
fuer das naechste Mal planen, dich nicht von diesem Kollegen abhaengig zu machen;1
in mich gehen & ueberdenken, ob ich es geschafft haette, die Infos rechtzeitig weiterzugeben (wenn ich in der Situation von meinem Kollegen gewesen waer);1
nicht vergessen: jetzt ist es passiert, jetzt kann man nichts mehr aendern;1
dem Kollegen klar machen, dass er meinen Zeitplan durch seine Uzuverlaessigkeit kaputt gemacht hat;1
Mit dem Kollegen reden und bitten es beim nächsten Mal besser zu machen.;1
Eine Zigarette rauchen und sich abreagieren.;1
Mit dem Chef reden und die Situation erklären;1
Den Kollegen bitten, falls Probleme auftreten, die Schuld auf sich zu nehmen;1
ich helfe ihm;1
ich setze ihn unter Zeitdruck;1
ich versuche zu verstehen warum er nicht fertig ist;1
ich reagiere mich ab durch Sport o.ä.;1
ich suche ein Gespräch mit ihm, versuche den Druck rauszunehmen;1
ich rede mit dem Chef;1
ich rede mit anderen Kollegen darüber;1
ich erkläre dem Chef, dass es nicht mein Verschulden ist;1
Einen neuen Plan für mich selbst erstellen;1
Die Situation so hinnehmen, wie sie ist;1
Die Situation der Kollegen versuchen zu verstehen;1
Nach Alternativen suchen;1
Atemübungen machen;1
Kurzfristig an etwas anderes, schöneres, besseres denken;1
Andere gute Eigenschaften des Kollegen „auflisten“;1
Mich mit anderen Sachen beschäftigen;1
Spaziergang;1
ich erinnere mich daran, dass ich auch oft zu spät Infos bereitstelle;1
ich bitte sie um Hilfe um noch rechtzeitig fertigzuwerden;1
ich mache einen Spaziergang in der Natur;1
ich nehme mir vor in Zukunft sie mehr auf die Wichtigkeit von Pünktlichkeit aufmerksam zu machen;1
ich rege mich bei einem Freund auf;1
Zurücklehnen, weil die Verantwortung abgegeben ist.;1
Den Kollegen stressen, um Druck abzubauen;1
Die wichtige Information selbst herausfinden;1
Wut und Ärger in Musik projezieren;1
ihm sagen, dass er es nicht noch einmal machen soll;1
mich über ihn aufregen;1
mich ärgern, aber ihm nichts sagen;1
versuchen, so gut wie es geht, alleine alles fertig zu machen;1
versuchen, mich zu beruhigen;1
Ich versuche sie mir selbst zu beschaffen;1
Ich frage einen anderen Kollegen;1
Ich überlege, ob diese Information wirklich so wichtig ist;1
Ich mache eine kurze Pause;1
Ich gehe spazieren;1
Ich treffe mich mit Freunden und frage sie nach ihrer Meinung;1
Ich versuche mich zu entspannen.;1
man kann sich ablenken, bis die Information da ist;1
man kann den Zeitplan ändern, Pause früher etc.;1
Wut aus sich rausschreien;1
Chef sagen, dass man nicht mehr den Druck hat für ihn schuldig sein zu können;1
Kollegen helfen;1
Information versuchen selber zu bekommen;1
dem Kollegen klar machen, dass es so nicht geht;1
mit einer anderen Sache beginnen;1
akzeptieren, dass der Zeitplan nicht eingehalten werden kann;1
Ablenkung suchen;1
Buch lesen;1
sich in die Situation des gegenübers hineinversetzen;1
Eine *** überlegen wie in Zukunft das nicht passieren kann.;1
Über die Auswahl des Kollegen reflektieren.;1
Sich die Frage stellen, warum man von einer Person abhängig ist.;1
Etwas anderes tun, was mich voranbringt;1
Durchschnaufen;1
Etwas trinken;1
Andere Aufgaben erledigen;1
An eine frische Luft gehen;1
Den Kollegen nochmals um die Info fragen;1
Dem Kollegen bei der Arbeit helfen;1
Einen anderen Kollegen um Hilfe bitten.;1
Fokus auf Schritte die gerade warten müssen für bestes Ergebnis;1
Anfrage auf Hilfe  bei Teamkollegen Kompensation;1
Selbst um Info kümmern (wenn möglich);1
Werte Zeit nutzen um Vorbereitungen zu treffen (dieses od. Andere Projekte);1
Die Werte Zeit zur Fehlerkontrolle oder *** nutzen;1
Jetzt weiß ich, dass er nicht so zuverlässig ist > aus Fehlern lerne ich;1
Ich werde flexibler was meinen Zeitplan betrifft;1
Ich kann meinen Zeitplan sicherlich noch anpassen (Deadline verschieben);1
Unter Stress kann ich besser arbeiten;1
Ich verpetze meinen Kollegen, In Zukunft werde ich;1
Den Kollegen auffordern schnellstmöglich nachzuliefern;1
Sport als Ablenkung;1
Bei Freunden beschweren;1
Es selber machen (Information sammeln);1
Essen kochen;1
Kollegen anrufen und beschweren;1
Den Zeitplan umstrukturieren;1
Ihn darauf ansprechen;1
Auffordern nächstes mal schneller;1
mit Freunden darüber aufregen;1
Sport machen auspower;1
es mit lauter Musik versuchen selbst zu beheben;1
Vorgesetztem Bescheid geben;1
bewusst auf ihn böse sein;1
versuchen Verständnis aufzubringen;1
seine Seite verstehen zu versuchen;1
realistisch darüber nachdenken (nicht subjektiv);1
Merken & falls sich selbige Situation erneut ergibt von vornherein den Kollege/in erinnern die Information bereitzustellen;1
die Schuld auf den/die Kollegen/in schieben;1
Grund für das Fehlen der Infos erfragen;1
Versuchen, den Zeitplan für uns beide in Zukunft günstig zu restrukturieren;1
Kollegen bitten, in Zukunft mehr darauf zu achten, alles bereit zu haben;1
Ich spreche den Kollegen auf das entstandene Problem an;1
Ich arbeite mehr, um den Zeitplan einzuhalten;1
Ich verlasse mich in Zukunft nicht mehr auf den Kollegen;1
Ich wende mich an den Chef;1
Ich spreche mit Freunden darüber;1
ich reden mit dem Kollegen;1
wenn der Kollege nicht hören will, gehe ich zum Chef;1
ich helfe meinem Kollegen, dass er die wichtige Info so schnell wie möglich bereitstellen kann;1
ich suche mit meinem Kollegen nach Ideen, wie das in Zukunft nicht mehr passieren kann;1
Problem besprechen;1
Zeitmanagement neu einteilen;1
den Kollegen konfrontieren;1
an anderen Sachen zuerst weiterarbeiten;1
mit anderen Kollegen reden;1
mit dem Chef Problem besprechen;1
Information selbst beschaffen;1
dem Kollegen mitteilen, dass ich verärgert bin;1
