Item, Cluster, Solution
1, 7, 2
2, 11, 2
3, 16, 2
4, 34, 3
5, 24, 2
6, 0, 1
7, 32, 0
8, 0, 3
9, 28, 3
10, 16, 2
11, 33, 1
12, 19, 2
13, 4, 1
14, 3, 3
15, 34, 2
16, 23, 3
17, 23, 0
18, 30, 2
19, 3, 3
20, 35, 2
21, 7, 3
22, 27, 1
23, 30, 2
24, 14, 0
25, 22, 3
26, 34, 2
27, 35, 0
28, 17, 0
29, 19, 3
30, 33, 3
31, 19, 1
32, 22, 1
33, 10, 0
34, 21, 2
35, 24, 3
36, 36, 2
37, 8, 1
38, 13, 3
39, 30, 2
40, 10, 2
41, 4, 2
42, 9, 3
43, 11, 3
44, 6, 2
45, 23, 2
46, 17, 2
47, 5, 3
48, 18, 1
49, 18, 2
50, 23, 2
51, 10, 2
52, 23, 3
53, 17, 2
54, 19, 0
55, 25, 1
56, 20, 1
57, 21, 1
58, 10, 2
59, 0, 1
60, 5, 0
61, 29, 1
62, 13, 1
63, 3, 1
64, 1, 0
65, 16, 1
66, 2, 0
67, 19, 3
68, 7, 0
69, 24, 3
70, 14, 3
71, 21, 2
72, 35, 0
73, 5, 0
74, 18, 2
75, 23, 1
76, 24, 3
77, 33, 2
78, 0, 0
79, 33, 0
80, 23, 1
81, 15, 3
82, 9, 2
83, 10, 1
84, 2, 3
85, 16, 3
86, 24, 0
87, 11, 0
88, 7, 0
89, 8, 2
90, 17, 2
91, 25, 0
92, 19, 2
93, 4, 1
94, 14, 0
95, 33, 3
96, 21, 1
97, 15, 0
98, 6, 3
99, 23, 1
100, 14, 0
101, 25, 1
102, 19, 2
103, 32, 0
104, 5, 2
105, 6, 3
106, 19, 3
107, 24, 2
108, 31, 0
109, 23, 3
110, 26, 0
111, 1, 1
112, 4, 3
113, 20, 0
114, 17, 3
115, 7, 2
116, 0, 1
117, 0, 2
118, 1, 3
119, 14, 1
120, 4, 2
121, 25, 0
122, 7, 1
123, 6, 1
124, 0, 3
125, 15, 0
126, 33, 2
127, 16, 1
128, 31, 2
129, 19, 3
130, 25, 2
131, 17, 3
132, 29, 3
133, 3, 1
134, 27, 2
135, 32, 1
136, 17, 0
137, 14, 3
138, 17, 0
139, 10, 2
140, 17, 1
141, 20, 3
142, 0, 3
143, 25, 0
144, 29, 2
145, 35, 1
146, 0, 3
147, 33, 0
148, 4, 3
149, 0, 3
150, 4, 1
151, 21, 3
152, 29, 2
153, 5, 1
154, 23, 2
155, 21, 1
156, 29, 2
157, 19, 0
158, 21, 0
159, 0, 3
160, 3, 3
161, 28, 3
162, 3, 3
163, 25, 2
164, 3, 3
165, 10, 2
166, 33, 2
167, 9, 0
168, 3, 3
169, 17, 1
170, 21, 3
171, 6, 1
172, 30, 1
173, 33, 0
174, 24, 0
175, 4, 0
176, 23, 3
177, 23, 0
178, 13, 3
179, 16, 0
180, 24, 3
181, 28, 3
182, 33, 2
183, 7, 2
184, 31, 0
185, 1, 3
186, 0, 0
187, 16, 0
188, 10, 2
189, 19, 0
190, 9, 2
191, 24, 3
192, 0, 2
193, 23, 0
194, 4, 1
195, 23, 1
196, 19, 1
197, 33, 2
198, 1, 3
199, 21, 0
200, 4, 1
201, 23, 1
202, 18, 0
203, 26, 3
204, 33, 2
205, 9, 3
206, 9, 1
207, 6, 3
208, 18, 3
209, 6, 1
210, 33, 1
211, 22, 0
212, 32, 1
213, 19, 0
214, 4, 2
215, 23, 1
216, 24, 2
217, 7, 0
218, 17, 1
219, 24, 0
220, 7, 0
221, 17, 1
222, 2, 3
223, 4, 1
224, 0, 1
225, 3, 1
226, 8, 0
227, 28, 1
228, 17, 1
229, 13, 1
230, 33, 3
231, 5, 1
232, 23, 3
233, 17, 0
234, 4, 2
235, 6, 0
236, 33, 2
237, 9, 3
238, 14, 3
239, 16, 0
240, 14, 1
241, 29, 2
242, 3, 0
243, 5, 0
244, 8, 1
245, 33, 2
246, 23, 3
247, 21, 0
248, 20, 0
249, 9, 3
250, 3, 3
251, 1, 2
252, 34, 2
253, 2, 2
254, 35, 3
255, 2, 1
256, 13, 2
257, 2, 1
258, 12, 2
259, 0, 3
260, 7, 2
261, 21, 3
262, 22, 3
263, 3, 0
264, 17, 3
265, 17, 1
266, 13, 0
267, 28, 1
268, 33, 1
269, 4, 0
270, 26, 3
271, 7, 0
272, 17, 3
273, 21, 3
274, 0, 3
275, 32, 3
276, 4, 3
277, 14, 3
278, 12, 0
279, 9, 3
280, 36, 3
281, 10, 3
282, 13, 1
283, 4, 1
284, 27, 3
285, 17, 3
286, 34, 2
287, 11, 0
288, 4, 3
289, 24, 1
290, 5, 3
291, 17, 3
292, 27, 0
293, 5, 0
294, 8, 1
295, 14, 2
296, 27, 2
297, 5, 0
298, 25, 3
299, 11, 3
300, 4, 2
301, 33, 2
302, 33, 0
303, 33, 3
304, 10, 3
305, 10, 2
306, 2, 0
307, 12, 0
308, 28, 0
309, 1, 2
310, 23, 2
311, 12, 3
312, 31, 2
313, 19, 0
314, 23, 3
315, 7, 1
316, 15, 0
