Item,ER Suggestion,Label,New Label
1,Den Kollegen anmotzen,expr,
1,Früher Feierabend machen und sich einen gemütlichen Abend machen.,sitcon,
1,"Ich kläre ab, ob die Info sich ersetzen lässt",info,
1,Auf den Kollegen sauer sein,expr,
1,Kompromiss finden mit dem Kollegen,sitcon,
1,"Ich sag was ich denke und bitte ihn darum früher anzufangen, damit wir beide es schaffen können.",instr-supp,
1,"Ich sage ihm, dass sein Handeln mir Probleme verursacht",sitcon,
1,"Ich bereite mich darauf vor, ein höheres Arbeitspensum zu leisten",reapp,
1,Kollegen um Hilfe bitten meinen Zeitplan ein zuhalten,instr-supp,
1,es gibt Schlimmeres,reapp,
1,mich auf positive Aspekte konzentrieren die wir schon erledigt haben,reapp,
1,fahre ohne die wichtige Information fort,sitcon,
1,"Mit ihm weiteres Vorgehen ausmachen, damit es un Zukunft klappt",reapp,
1,Informationen selber suchen,info,
1,"Ich übernehme seine Aufgabe, ein anders mal erwarte ich das v. ihm.",sitcon,
1,"ich suche mit meinem Kollegen nach Ideen, wie das in Zukunft nicht mehr passieren kann",sitcon,
1,"versuchen, mich zu beruhigen",reapp,
1,Ich helfe ihr bei den Aufgaben,sitcon,
1,Unter Stress kann ich besser arbeiten,self-en,
1,Ich lasse die Information einfach weg.,sitcon,
1,Mit dem Kollegen darüber sprechen,sitcon,
1,mit dem Chef Problem besprechen,instr-supp,
1,Helfen Info bereitzustellen,sitcon,
1,Ich kommuniziere mit unserem Vorgesetzten,instr-supp,
1,Ich ändere meinen Zeitplan (flexibel),sitcon,
2,sich fragen ob man bereit ist private Freundsch. & Familienkontakt f. Job aufgeben/reduzieren will & es sein lassen,sitcon,
2,ablenken,dist,
2,"Einen Freund/Partner mitnehmen, der einen beruhigt",social-supp,
2,„Augen zu & durch“,reapp,
2,"Meditieren, vor dem Flug.",relax,
2,"wenn nicht hilft, nochmals mit anderen reden",instr-supp,
2,Ich suche jemanden auf der mir bei meiner Angst helfen kann,instr-supp,
2,Mich überwinden und an die Chancen denken,reapp,
2,Wohnung wechseln und einmalig Auto/Schiff,sitcon,
2,ich arbeite an meiner Flugangst > pers. Weiterentwicklung,sitcon,
2,Ich frage bekannte/Familie nach Techniken zur beruhigung,social-supp,
2,Ein enges Familienmitglied/einen guten Freund anrufen,social-supp,
2,ruhig durchatmen,relax,
2,"Dinge davor tun, die mich beruhigen",relax,
2,"Körpergestik einnehmen die nicht Angst wiederspiegelt (z.B. aufrecht sitzen, mit erhobener Brust)",sitcon,
2,tief durchatmen,relax,
3,Zeit mit Rest der Familie verbringen,sitcon,
3,"Ich schliesse mich mit anderen Verwandten zusammen und verbringe meine Zeit mit diesen, Dabei beraten wir uns wie wir die Krankheit a) beseitigen b) so so ertragbar wie möglich für die Verwandt machen können",sitcon,
3,möglichst viele Pflichten übernehmen,sitcon,
3,Ich organisiere mit anderen Verwandten eine nette Überraschung.,sitcon,
3,"Trauer ignorieren, so tun als wäre nichts",suppress,
3,andere Verwandte verständigen,sitcon,
3,Ich suche Rost bei Familie/Freunde,social-supp,
3,Ich mache eine Reise nach Ibiza und vergessen die Umstände,dist,
3,Trauer ignorieren und keinen weiteren Gedanken an den kranken Verwandten verschwenden,suppress,
3,Ich rufe Verwandte an um nach Gründen & Zustand zu fragen,info,
3,Ich besuche Sie und unterstütze sie wo ich kann,sitcon,
3,weinen,expr,
3,Ich rufe Freunde an um ihnen die Nachricht zu überbringen,sitcon,
3,in die Heimat fahren/Zug-/Flugticket buchen > Besuch + Nähe zu anderen Verwandten,social-supp,
3,"Ich atme tief durch und gehe nicht vom schlimmsten aus, positiv bleiben!",reapp,
3,Arzt fragen wie es steht um sie steht,instr-supp,
3,Ich erkundige mich bei meinen Verwandten was passiert ist,social-supp,
3,Suche Erfolgsgeschichte (überleben etc.) v. Menschen m. gleicher Krankheit,info,
3,rede mit Freunden,social-supp,
3,mit Haustier kuscheln,dist,
3,"Allein zu Hause Musik hören, ggf. weinen",dist,
3,Den Verwandten anrufen.,social-supp,
3,Rede ausführlich mit Menschen (FreundIn) in meiner nahen Umgeb. darüber,social-supp,
3,mit Freunden raus gehen,social-supp,
3,ich rede mit Nahestehende über meine Trauer,social-supp,
3,"Ich mache mehr Sport, um der Trauer durch erhöhten Endorphinspiegel entgegenzuwirken.",dist,
3,Ich wende mich Alkohol und Drogen zu.,subst-alc,
4,ich distanziere mich von dem Freund,withdr,
4,"Ich frage nach den Gründen der Mitspieler/innen, das zu behaupten und Verbesserungsvorschl.",instr-supp,
4,sich bei Freunden darüber aufregen,social-supp,
4,Ich verlasse dieses Sportteam.,sitcon,
4,trainieren,sitcon,
4,Das Team verlassen,withdr,
4,mich ablenken,dist,
4,Freunden Ärger mitteilen,social-supp,
4,Reflektieren was der Wahrheit entspricht,reapp,
4,mich einem anderen Team anschliessen,sitcon,
4,Ärger in Motivation umwandeln,reapp,
4,ich konfrontiere den Freund,sitcon,
4,"Ich konzentriere mich mehr auf andere Dinge, in welchen ich gut bin.",reapp,
