Item,ER Suggestion,Label,New Label
1,Den Kollegen anmotzen,expr,
1,Früher Feierabend machen und sich einen gemütlichen Abend machen.,relax,
1,"Ich kläre ab, ob die Info sich ersetzen lässt",info,
1,Auf den Kollegen sauer sein,expr,
1,Kompromiss finden mit dem Kollegen,sitcon,
1,"Ich sag was ich denke und bitte ihn darum früher anzufangen, damit wir beide es schaffen können.",info,
1,"Ich sage ihm, dass sein Handeln mir Probleme verursacht",info,
1,"Ich bereite mich darauf vor, ein höheres Arbeitspensum zu leisten",sitcon,
1,Kollegen um Hilfe bitten meinen Zeitplan ein zuhalten,info,
1,es gibt Schlimmeres,reapp,
1,mich auf positive Aspekte konzentrieren die wir schon erledigt haben,reapp,
1,fahre ohne die wichtige Information fort,suppress,
1,"Mit ihm weiteres Vorgehen ausmachen, damit es un Zukunft klappt",sitcon,
1,Informationen selber suchen,sitcon,
1,"Ich übernehme seine Aufgabe, ein anders mal erwarte ich das v. ihm.",sitcon,
1,"ich suche mit meinem Kollegen nach Ideen, wie das in Zukunft nicht mehr passieren kann",sitcon,
1,"versuchen, mich zu beruhigen",relax,
1,Ich helfe ihr bei den Aufgaben,sitcon,
1,Unter Stress kann ich besser arbeiten,reapp,
1,Ich lasse die Information einfach weg.,reapp,
1,Mit dem Kollegen darüber sprechen,social-supp,
1,mit dem Chef Problem besprechen,instr-supp,
1,Helfen Info bereitzustellen,sitcon,
1,Ich kommuniziere mit unserem Vorgesetzten,instr-supp,
1,Ich ändere meinen Zeitplan (flexibel),sitcon,
2,sich fragen ob man bereit ist private Freundsch. & Familienkontakt f. Job aufgeben/reduzieren will & es sein lassen,withdr,
2,ablenken,dist,
2,"Einen Freund/Partner mitnehmen, der einen beruhigt",social-supp,
2,„Augen zu & durch“,suppress,
2,"Meditieren, vor dem Flug.",relax,
2,"wenn nicht hilft, nochmals mit anderen reden",social-supp,
2,Ich suche jemanden auf der mir bei meiner Angst helfen kann,therapy,
2,Mich überwinden und an die Chancen denken,reapp,
2,Wohnung wechseln und einmalig Auto/Schiff,sitcon,
2,ich arbeite an meiner Flugangst > pers. Weiterentwicklung,sitcon,
2,Ich frage bekannte/Familie nach Techniken zur beruhigung,social-supp,
2,Ein enges Familienmitglied/einen guten Freund anrufen,social-supp,
2,ruhig durchatmen,relax,
2,"Dinge davor tun, die mich beruhigen",relax,
2,"Körpergestik einnehmen die nicht Angst wiederspiegelt (z.B. aufrecht sitzen, mit erhobener Brust)",therapy,
2,tief durchatmen,relax,
3,Zeit mit Rest der Familie verbringen,sitcon,
3,"Ich schliesse mich mit anderen Verwandten zusammen und verbringe meine Zeit mit diesen, Dabei beraten wir uns wie wir die Krankheit a) beseitigen b) so so ertragbar wie möglich für die Verwandt machen können",sitcon,
3,möglichst viele Pflichten übernehmen,sitcon,
