Item,ER Suggestion,Label,New Label
9,"Ich vermisse ihn weiterhin, aber tu nichts dagegen. ",expr,
5,spreche mit Mitstudierenden,info,
7,Ich arbeite härter um die Zeit wieder einzuholen,sitcon,
1,Ablenkung suchen,dist,
5,"Ich baue Kontakt zu ihnen auf, um bald festzustellen, dass andere auch Angst haben",info,
6,Ich mache mir etwas zu essen und versuche es zu vergessen,suppress,
8,"Ich bitte sie darum, mir bei den Vorbereitungen mitzuhelfen",instr-supp,
1,arbeite dafür schneller,sitcon,
9,Ich trete eine Stelle in seiner Nähe an,sitcon,
5,mich nicht mit anderen vergleichen,self-en,
7,Versuchen die verlorene Zeit aufzuholen.,sitcon,
8,spazieren gehen vor deren Ankunft um runter zu kommen,relax,
1,Eine Minute tief durchatmen,relax,
4,Sportteam verlassen,withdr,
3,"Ich tue Dinge, die mich glücklich machen.",dist,
9,ich lade einen anderen Freund in Cafe ein,other,accept
5,Ich beobachte die Fähigkeiten der Anderen genau,info,
6,Ich distanziere mich von der Bewertung des Klienten.,suppress,
6,Den Klienten an einen Kollegen vermitteln,withdr,
2,Ich suche jemanden auf der mir bei meiner Angst helfen kann,therapy,
4,Ich suche das Gespräch mit dem Team und bitte um eine konstruktive Kritik.,info,
1,versuche mich zu beruhigen,relax,
4,Meine Fähigkeiten verbessern,sitcon,
8,über Lösung bei Problemen nachdemken,sitcon,
6,gehe shoppen,dist,
6,ich halte nichts von dem Klienten,reapp,
5,"Ich reagiere rechtzeitig, wenn ich nicht mitkomme",sitcon,
2,Pro-Kontra Liste erstellen,info,
4,ich geb ihnen den Ball nicht mehr ab,expr,
7,Ich akzeptiere die Situation und konzentriere mich auf das Problem.,other,accept
8,Ich hole mir Hilfe bei der Vorbereitung,instr-supp,
5,ich werte die jüngeren Studenten innerlich ab,self-en,
8,"mir klarmachen, dass es MEINE Wohnung ist und dass es das wichtigste ist, dass ich mich wohl fühle und nicht, dass es anderen gefällt",reapp,
6,"Herausfinden, warum Klient so belastend ist",info,
6,"Ich überlege mir eine Strategie, mit dieser Person umzugehen.",sitcon,
2,ich stelle mir die Situation vor & stelle mir vor wie die Reise gut verläuft,reapp,
7,Ich rede mit FreundInnen und Familie über meinen Frust.,social-supp,
4,ich distanziere mich von dem Freund,withdr,
4,Ich spreche die anderen darauf an.,info,
1,Knetball (Aggression rauslassen),expr,
3,Situation ignorieren und so tun als wäre nichts,suppress,
5,Versuchen an Altfragen und. andere Infos zu kommen.,sitcon,
7,Ich unterrichte meinem Chef persönlich über die fehlenden Betriebsmittel,sitcon,
6,Ich liefere dem Klienten andere Vorschläge,sitcon,
5,Meditieren,relax,
6,"andere Aufgabe ausführen, die mir meine Fähigkeiten bestätigt.",self-en,
8,Etwas schönes/lustiges für den Tag vorbereiten > sich auf Reaktion aller freuen,reapp,
3,Ich gehe raus und bewege mich,dist,
1,Kollegen um Hilfe bitten meinen Zeitplan ein zuhalten,instr-supp,
3,Lenke mich ab um nicht mehr traurig zu sein.,dist,
6,Ich frage meinen Chef ob ich was hätte besser machen könne,info,
4,"Ich wechsle in ein Team, welches mehr meinen Fähigkeiten entspricht.",withdr,
5,"einsehen, dass auch sie ihre Schwächen haben",reapp,
9,"ich schreibe ihm, wie traurig mich das macht - misery loves company",expr,
2,ich frage ob ich von Zuhause arbeiten kann,sitcon,
5,ich besteche meine Mitschüler mit Alkohol :),instr-supp,
6,Darüber reden z.B. mit dem Chef,instr-supp,
5,mich nicht an anderen messen,self-en,
4,Sport wechseln,withdr,
4,Ich verlasse das Team und suche mir ein weniger anspruchsvolles,withdr,
6,Ich verarbeite meine Enttäuschung bei einem Spaziergang/beim Skaten,dist,
6,Ich spreche mit einem Freund,social-supp,
9,ich suche mir einen Freund der sich gerne regelmässig mit mir treffen möchte,other,accept
3,Den Verwandten anrufen.,info,
7,"Ressourcen aufzählen, die man zur Verfügung hat um aufzuholen",sitcon,
8,Ich begrenze die Dauer der Feier auf eine gewisse Zeit,sitcon,
1,"Besprechung mit allen Verantwortlichen einberufen, Hilfe anfordern",instr-supp,
3,Ich rufe Verwandte an um nach Gründen & Zustand zu fragen,info,
1,ich spreche meinen Kollegen darauf an und versuche zu einer Lösung zu kommen,sitcon,
6,Handlungsspielraum mit Chef eruieren,info,
1,"Ihm bei seiner Aufgabe weiterhelfe, damit ich dann weiterarbeiten kann",sitcon,
6,Erfolg bei neuer Arbeit anstreben,reapp,
6,mit Chef und Kollegen diskutieren was los war.,info,
4,beweise ihr das ich keine schlechte Spielerin bin,sitcon,
7,"sich anstrengen, dass das Projekt trotzdem rechtzeitig fertig wird",sitcon,
6,"Ich mache eine Tätigkeit, die ich gut kann (z.B. Backen)",dist,
3,an die Personen ganz fest denken & ihnen Gesundung wünschen,sitcon,
7,ich bemühe mich Zugang zu den Betriebsmitteln zu bekommen,sitcon,
9,ich suche gemeinsam mit dem Kollegen eine gute Alternative,sitcon,
6,"Ich suche mir einen neuen Klienten, bei dem ich eine zufriedenstellend Leitung aufbringe",withdr,
9,Ich erkundige mich nach dem Grund,info,
9,Fragen warum er nicht mehr kommt,info,
5,"Studium abbrechen, zurück in den Job",withdr,
7,Chef über Situation informieren,sitcon,
3,Ablenken,dist,
8,andere als Vorbereitungshilfen,instr-supp,
7,Ich lästere über die Firma.,expr,
1,mit dem Chef/Vorgesetzten/Prof darüber sprechen,instr-supp,
2,Ich bereite mich mit frequenter Meditation auf den Flug vor.,relax,
8,Ich gehe mit ihnen einfach Essen.,withdr,
9,sich mit anderen Kollegen im Cafe treffen,other,accept
8,schlafe bis die Familie kommt,dist,
7,"Ich schlage gegen die Wand um Schwerzen zu fühlen, Ich",dist,
7,Arbeitsmittel für Zukunft selbst zulegen?,reapp,
5,"Ich bin realistisch, wir sind alle am gleichen Punkt & wissen/können gleich viel",reapp,
5,Sich seiner Ziele bewusst zu werden - ist mein Ziel wirklich der Beste/die Beste zu sein?,reapp,
5,"Ich vergleiche mich mit mir selbst (frühere Version von mir), nicht mit anderen",self-en,
4,Ich suche meinen Trainer auf und frage um den tatsächlichen Stand meiner Fähigkeiten.,info,
8,"Gute/positive Musik hören, um sich selbst in die Stimmung zu bringen",dist,
4,Aus dem Sportteam austreten,withdr,
4,Ich fahre wütend nach Hause und beklage mich bei meiner Familie,expr,
8,Ich lade die Familie wieder aus,withdr,
4,Reflektieren was der Wahrheit entspricht,other,reflect
8,mit Familie sprechen,social-supp,
4,Mir bei anderen Spielern Rückhalt suchen,social-supp,
3,"Ich versuche, optimistisch zu bleiben.",reapp,
1,Ich weise d. Kollegen auf d. Dringlichkeit hin,sitcon,
9,Künftig das Cafe meiden,withdr,
8,Ich hole mir Hilfe bei der Vorbereitung.,instr-supp,
1,lästere bei anderen Kollegen über ihn,expr,
1,Mit Freunden/Familie über Ärger sprechen,social-supp,
4,ich überprüfe die Aussage mit der Realität und akzeptiere die Wahrheit,info,
9,Ich gehe in der frei gewordenen Zeit joggen,other,accept
8,"Ich spreche mit meiner Familie darüber und gebe zu, dass ich sehr nervös bin.",social-supp,
9,"Ich sehe es als Art neuen Lebensschritt, der wohl so kommen musste & vielleicht auch irgendetwas Gutes mit sich bringt",reapp,
3,Film über ähnliches Schicksal anschauen,expr,
1,"man kann den Zeitplan ändern, Pause früher etc.",sitcon,
4,Ich frage nach woran es genau liegt u. wie ich mich verbessern könnte,info,
9,"Anderweitig Austausch mit dem Kollegen suchen (Email, anderer Ort/Zeit, Telefonat)",sitcon,
2,ablenken,dist,
5,Arbeiten gehen,withdr,
8,Ich bitte Mama um Hilfe bei Vorbereitung,instr-supp,
4,Gründe hinterfragen,info,
4,"ich spreche die Mitspieler darauf an + zeige, dass ich verletzt bin",expr,
4,den Trainer nach Tipps fragen,instr-supp,
8,Überlegen was passieren könnte + Massnahmen dagegen oder wie man damit umgehen könnte.,sitcon,
6,Versuchen zu verstehen das der Klient schwierig ist,other,accept
5,Yoga/Meditation,relax,
1,rufe meine beste Freundin an um meinen Frust loszuwerden,social-supp,
9,Ich schreibe Tagebuch,expr,
3,Positiv denken,reapp,
1,versuche auf Augenhöhe mit ihn zu reden,sitcon,
1,"ich fordere ihn auch mir zu helfen, damit ich meinen Zeitplan einhalten kann",instr-supp,
2,"Ueber Therapie nachdenken > Fokus auf Lösung und nicht Problem, Notwendigkeit des ganzen festhalten und … ",therapy,
1,Ich bespreche das mit meinem Kollegen und versuche ihn meine Wichtigkeit mitzuteilen,sitcon,
8,"Familie vorher anrufen, über Probleme reden",social-supp,
9,Ich treffe einen anderen Kollegen,other,accept
9,"Ich versuche mir klar vorzustellen, woran es liegen könnte und suche dabei nach Gründen, die nicht mit mir und auch nicht mit seinem Charakter zu tun haben.",other,reflect
7,Schuldgefühle haben,expr,
6,Am Abend vor dem Schlafengehen spiele ich die Situation neu ab.,other,reflect
7,"andere Ressourcen wie Freunde, Familie, … als gleich wichtig erachten ",reapp,
6,Mit Kollegen darüber sprechen,social-supp,
8,Ich frage Freunde ob ich etas vergessen habe für die Feier.,instr-supp,
1,"Ich bereite mich darauf vor, ein höheres Arbeitspensum zu leisten",other,accept
5,Ich rede mit dem Dekan und bitte um Rat.,instr-supp,
3,Suche Erfolgsgeschichte (überleben etc.) v. Menschen m. gleicher Krankheit,reapp,
8,"Ich frage alle, was sie essen möchten",sitcon,
5,hart arbeiten/lernen,sitcon,
6,"auf Arbeiten konzentieren, die man in der Vergangenheit schneller erledigen konnte",self-en,
8,"Mir Sicherheit bei engen Verwandten (Eltern, Geschwister) holen",social-supp,
1,Früher Feierabend machen und sich einen gemütlichen Abend machen.,relax,
6,anderen Kunden bedienen,withdr,
7,Ich entschuldige mich für das nicht-einhalten des Zeitplans.,other,accept
1,"Ich frage ihn, warum er das nicht geschafft hat.",info,
6,ich habe Selbstzweifel,expr,
9,"Anderes Cafe suchen, das für beide passt",sitcon,
1,sich anderswie „rächen“,expr,
5,Ich suche Freunde unter den Studierenden,sitcon,
6,"An andere Klienten erinnern, die zufrieden waren",self-en,
5,mit Studenten anfreunden und „Gefahr“ besser einschätzen,info,
5,Universität wieder verlassen,withdr,
9,Ich unterhalte mich mehr mit anderen Kollegen,other,accept
9,Ablenken,dist,
6,"Ich sage mir selbst, dass ich getan habe, was ich konnte.",self-en,
6,Ich spreche mit Kollegen über den Vorfall.,social-supp,
7,Nächstes mal werde ich versuchen schon früher damit anzufangen,reapp,
3,Ich rede mit Freunden/Verwandten und erzähle was mich beschäftigt.,social-supp,
4,Mehr trainieren,sitcon,
9,gehe Laufen,dist,
8,Um Hilfe Fragen beim Vorbereiten,instr-supp,
6,der Mensch muss wohl seltsam sein,reapp,
2,"Ich erinnere mich an Situationen, wo ich schon mal meine Angst überwunden habe.",self-en,
8,Ich informiere schon im Vorhinein meine Grossfamilie was ich mir vorstelle,sitcon,
6,"Ich sage mir, dass der Kleine ein schwieriger Typ ist - auch andere werden Probleme mit ihm haben",reapp,
4,"Solange ich es gern mache, soll mich das nicht weiter stören",suppress,
5,Ziel vor Augen halten,reapp,
3,Ich besuche Sie und unterstütze sie wo ich kann,sitcon,
6,Über den Klienten lästern,expr,
