Item,ER Suggestion,Label,New Label
6,Den Klienten vergessen und weitermachen,other,accept
2,Direkter Umzug,sitcon,
9,streichle Katze,dist,
5,Gelassen bleiben - Uni ist nicht mein Leben,reapp,
7,ich arbeite doppelt so viel um den Zeitplan einzuhalten,sitcon,
7,sich an Autor*innen d. Zwischenberichts wenden: Ärger kommunizieren,expr,
7,Ich lerne aus der Situation,reapp,
5,"Ich rede mir ein, dass dies nur die anfängliche Nervosität ist",reapp,
7,schauen wo das Problem liegt,info,
5,"Ich rede mit Freunden/Familie darüber & frage, ob sie ähnliche Erfahrungen gemacht haben",info,
3,Ich lebe mein Leben normal weiter,other,accept
7,Das nächste mal mit zuverlässigen Partnern zusammenarbeiten,reapp,
1,"Mit Kollegen reden, dass die Kommunikation in Zukunft besser wird",reapp,
4,ich suche mir ein neues Hobby,withdr,
1,Ihn konstruktiv darauf ansprechen,sitcon,
8,Mein einem Hund spielen,dist,
2,Mit Freundin reden,social-supp,
7,Die Situation hinnehmen wie sie ist,other,accept
6,weiter machen,other,accept
7,Zwischenbericht versuchen zu korrigieren,sitcon,
3,Ich lese Bücher über Bewältigungsstrategien,self-en,
5,mich nicht mit anderen vergleichen,self-en,
7,Ich tue alles um Ich erstelle einen neuen Plan wie ich meine Arbeit trotzdem bestmöglich fertigstellen kann,sitcon,
4,Offen nach ihrer Meinung +. Begründung dafür zu (er)fragen,info,
5,Lernen,sitcon,
4,in besagter Situation den Ärger visuell bündeln (z.B. in geballter Faust und loslassen > Mentalfreiheit),expr,
7,"Dafür sorgen, dass Mangel trotzdem irgendwo dokumentiert wird",sitcon,
6,erstmal darüber schlafen,dist,
4,Ich rede mit dem Schiedsrichter darüber.,info,
5,"Die jüngeren Studenten fragen, ob man gemeinsam lernen kann",instr-supp,
4,sie das nächste mal ebenso verärgern,other,revenge
2,"ich ziehe auf Dauer an den Ort, (kein hin- & herfliegen)",sitcon,
5,Ich vermeide Kontakt zu ihnen,suppress,
6,versuchen beim Nächsten besser zu sein,reapp,
9,Ich reflektiere alleine über die Vorkommnisse (Tagebuch),other,reflect
4,Konfrontiere Mitspieler wieso sie das behaupten.,info,
4,Mitspieler auf ihre Aussage anreden,info,
5,mit Professoren darüber reden,instr-supp,
8,Planung mit Freunden besprechen,instr-supp,
9,herausfinden warum er nicht kommt,info,
8,Die Wohnung gründlich putzen,sitcon,
6,nächstes Mal mehr mit Klient kommunizieren vornehmen,reapp,
3,weinen,expr,
7,Ich rede mit dem Ersteller dieses Zwischenberichts. (offensichtlich nicht ich?),sitcon,
2,"Partner/beste Freunden bitten, mitzukommen",instr-supp,
8,versuchen mich auf sie zu freuen,reapp,
1,"Ich akzeptiere, dass ich den Zeitplan auch nicht einhalten kann",other,accept
6,sich selbst ablenken,dist,
9,"einen Ort ausmachen, der günstig für beide ist",sitcon,
6,"Ich analysiere, wo das Problem lag",info,
1,"Die Situation so hinnehmen, wie sie ist",other,accept
1,"Ich versuche irgendwas, dass es sich doch noch rechtzeitig ausgeht",sitcon,
8,"Ich halte eine Rede und sage, dass ich mich freue, dass alle da sind, ich aber ganz schön aufgeregt bin.",expr,
7,Mit einer Freundin darüber reden.,social-supp,
7,Ich rege mich nicht auf,suppress,
7,Fehlendes Mittel Vorgesetzten mitteilen,sitcon,
1,Den Kollegen auffordern schnellstmöglich nachzuliefern,sitcon,
1,"Anbieten, es das nächste Mal gemeinsam zu machen.",reapp,
4,Ich versuche den brodelnden Ärger während des Trainings zu nutzen,reapp,
6,für den Klient weniger Zeit einplanen,withdr,
6,an etwas Schönes denken,dist,
7,Ich schlage auf mein Hissen um Wut abzubauen,expr,
3,Ich bin so gut es geht für ihn/sie da und versuche das Beste draus zu machen und die Zeit mit ihm zu genießen.,reapp,
6,Klient als schwierig und kompliziert abstempeln,reapp,
7,Die für den Zwischenbericht verantwortliche Person zur Rede stellen,info,
6,mit dem Klienten sprechen,info,
5,Sport,dist,
4,Meditieren,relax,
1,Ich werde nicht mehr mit ihm zusammenarbeiten,reapp,
7,versuchen das zu regeln,sitcon,
1,"Ich weise ihn darauf hin, damit es das nächste Mal nicht wieder passiert",reapp,
