Item,ER Suggestion,Label,New Label
1,"Mit Kollegen reden, dass die Kommunikation in Zukunft besser wird",sitcon,
1,Ihn konstruktiv darauf ansprechen,info,
1,"Ich akzeptiere, dass ich den Zeitplan auch nicht einhalten kann",other,accept
1,"Die Situation so hinnehmen, wie sie ist",other,accept
1,"Ich versuche irgendwas, dass es sich doch noch rechtzeitig ausgeht",sitcon,
1,Den Kollegen auffordern schnellstmöglich nachzuliefern,sitcon,
1,"Anbieten, es das nächste Mal gemeinsam zu machen.",sitcon,
1,Ich werde nicht mehr mit ihm zusammenarbeiten,withdr,
1,"Ich weise ihn darauf hin, damit es das nächste Mal nicht wieder passiert",info,
1,Ihn bitten die Information so schnell wie möglich bereitzustellen.,sitcon,
1,Die Situation der Kollegen versuchen zu verstehen,reapp,
1,Information selbst einholen,sitcon,
1,Verhaltens-(NICHT Persönlichkeits-)kritik in einem Gespräch äussern,info,
1,"akzeptieren, dass der Zeitplan nicht eingehalten werden kann",other,accept
1,"ihm sagen, dass er es nicht noch einmal machen soll",sitcon,
1,"ich bitte den Kollegen, das nächste Mal pünktlich zu sein",sitcon,
1,Dem Chef die Situation erklären,sitcon,
1,"Ich entspanne mich und geniesse die „freie“ Zeit, bis auch ich weiterarbeiten kann",reapp,
1,"Ihn darauf ansprechen, dass mich das ärgert",expr,
1,"wenn der Kollege nicht hören will, gehe ich zum Chef",instr-supp,
1,Chef melden,instr-supp,
1,"frage ihn, ob er eventuell viel Stress ausserhalb der Arbeit hat oder warum sein Verhalten so ist",info,
1,Ich helfe ihm die Aufgabe rechtzeitig fertig zu bekommen,sitcon,
1,"Ich versuche nachzuvollziehen, wieso er mir zu spät Bescheid gegeben hat",reapp,
1,Ich schlage vor zusammen zu arbeiten,sitcon,
1,sich selbst um die Information kümmern,sitcon,
1,Anfrage auf Hilfe  bei Teamkollegen Kompensation,sitcon,
1,ich beruhige mich und rufe meinen Kollegen an (um ihn darauf anzusprechen),info,
1,Kollegen unterstützen/besseres Arbeiten beibringen,sitcon,
1,"den Kollegen Vorschläge machen, wie er es in Zukunft besser machen könnte",sitcon,
1,Ich lenke mich mit etwas Angenehmen von dem Ärger ab.,dist,
2,Direkter Umzug,sitcon,
2,Mit Freundin reden,social-supp,
2,"ich ziehe auf Dauer an den Ort, (kein hin- & herfliegen)",sitcon,
2,"Partner/beste Freunden bitten, mitzukommen",social-supp,
2,"Ich danke an den Vertrag und daran, dass dieser wichtiger ist als meine Flugangst",reapp,
2,ich suche nach Tipps im Internet und in Büchern,therapy,
2,"Bewusst mach, dass keine logische Angst ist",reapp,
2,Ich schaue mir Zahlen zu Verkehrstoten und Flugzeugabstürzen an und werde mir der Relevanz meiner Angst bewusst.,reapp,
2,"Mich damit trösten, dass etwas Grossartiges auf mich wartet",reapp,
2,"Beruhigungstechniken lernen, um in der Situation entspannen zu sein",relax,
2,Ich bitte das Unternehmen um andere Optionen (von zu Hause aus arbeiten),sitcon,
2,Ich spreche mit Freunden und Verwandten über das Problem,social-supp,
3,Ich lebe mein Leben normal weiter,suppress,
3,Ich lese Bücher über Bewältigungsstrategien,therapy,
3,weinen,expr,
3,Ich bin so gut es geht für ihn/sie da und versuche das Beste draus zu machen und die Zeit mit ihm zu genießen.,sitcon,
3,Auf hier & jetzt fokussieren und nicht in d,sitcon,
3,Mit anderen Verwandten darüber reden,social-supp,
3,ziehe mich zurück,withdr,
3,Briefe schreiben,therapy,
3,Lernen,dist,
3,sich ablenken,dist,
3,Musik hoeren,dist,
3,Rede mit Familie,social-supp,
3,Ich schreibe alles auf.,therapy,
3,Für die Person beten.,sitcon,
3,Mit Freunden etwas unternehmen,dist,
3,Ich rede mit Freunden und Familie über meine Trauer.,social-supp,
4,ich suche mir ein neues Hobby,withdr,
4,Offen nach ihrer Meinung +. Begründung dafür zu (er)fragen,info,
4,in besagter Situation den Ärger visuell bündeln (z.B. in geballter Faust und loslassen > Mentalfreiheit),expr,
4,Ich rede mit dem Schiedsrichter darüber.,instr-supp,
4,sie das nächste mal ebenso verärgern,other,destr-soc
4,Konfrontiere Mitspieler wieso sie das behaupten.,info,
4,Mitspieler auf ihre Aussage anreden,info,
4,Ich versuche den brodelnden Ärger während des Trainings zu nutzen,reapp,
4,Meditieren,relax,
4,ich frage nach dem Gründen für die Annahme,info,
4,mit dem Team streiten,other,destr-soc
4,Sport beenden (abhängig von der Realität ob man obj. gut ist oder nicht),withdr,
4,Sich Gedanken um das Problemlösen der Situation herum zu machen,other,reflect
4,mich beim Couch beschweren,instr-supp,
4,beginne einen Streit mit ihr,other,destr-soc
4,ich greife ebenfalls Mitspieler verbal an,other,destr-soc
4,Ich evaluiere ob solche Menschen dann überhaupt die Richtigen für mein Wohlbefinden sind,other,reflect
4,"ich höre nicht auf das, was der Freund gesagt hat",reapp,
4,traurig sein und mir selbst Schuld geben,other,self-depr
4,ich schaue mich nach anderen Team um,sitcon,
4,Andere nach Meinung dazu fragen,info,
4,nach Verbesserungsvorschlaegen fragen,info,
4,mit Mitspielern über ihr Verhalten & Emotionen sprechen,info,
4,An mir zweifeln (kritisch hinterfragen),other,reflect
