Item,ER Suggestion,Label,New Label
1,andere Kollegen fragen die Information zu erlangen,instr-supp,
1,"Den Kollegen bitten, falls Probleme auftreten, die Schuld auf sich zu nehmen",instr-supp,
1,"Kurzfristig an etwas anderes, schöneres, besseres denken",dist,
1,mit einer Freundin reden und den Ärger verarbeiten,social-supp,
1,Ich werde nicht mehr mit ihm zusammenarbeiten,withdr,
1,Info selbst recherchieren,info,
1,Meditation,relax,
1,Spaziergang,relax,
1,"Ich frage nach, wie ich ihn unterstützen kann.",sitcon,
1,Ich treffe mich mit Freunden und frage sie nach ihrer Meinung,social-supp,
1,Verhaltens-(NICHT Persönlichkeits-)kritik in einem Gespräch äussern,sitcon,
1,"Ich sag ihm, wie sehr mich sein Fehler stört",sitcon,
1,Ich bitte ihn mir vorher bescheidzusagen,instr-supp,
1,Die Werte Zeit zur Fehlerkontrolle oder *** nutzen,sitcon,
1,Achte darauf in Zukunft nicht mehr von so etwas abhängig zu sein.,reapp,
1,"versuchen, so gut wie es geht, alleine alles fertig zu machen",sitcon,
1,"Ruhig bleiben, Wut bringt mich nicht weiter",self-en,
1,"dem Kollegen sagen, was die Konsequenzen sind",sitcon,
1,"Ich weise ihn darauf hin, damit es das nächste Mal nicht wieder passiert",reapp,
1,Ich schiebe es auf sein Fehlverhalten.,sitcon,
1,Ich gehe spazieren,dist,
1,In Zukunft versuche ich möglichst vorzuarbeiten,reapp,
1,Konfrontieren wieso die Info. nicht rechtzeitig bereitgestellt werden konnte!,sitcon,
1,Kollegen zukünftig früher erinnern,reapp,
1,ich arbeite mit einem anderen Kollegen weiter am Projekt,sitcon,
1,Mit anderen Aufgaben zuerst beginnen,sitcon,
1,konzentriere mich darauf Arbeit so schnell wie möglich fertig zu bekommen,sitcon,
1,Ich arbeite mehr um das auszugleichen,self-en,
1,ich distanziere mich von dem Kollegen,withdr,
1,"ich entferne mich erstmal der Situation, bis sich meine Stimmung gebessert hat",withdr,
1,"ihm sagen, dass er es nicht noch einmal machen soll",sitcon,
1,"ich bitte den Kollegen, das nächste Mal pünktlich zu sein",reapp,
1,"Versuchen, selber an die Info zu kommen",info,
1,Kollegen meinen Zeitplan mitteilen,sitcon,
1,erneut um Info. fragen,info,
1,"wenn der Kollege nicht hören will, gehe ich zum Chef",instr-supp,
1,Ich bitte meinem Arbeitgeber um mehr Zeit,instr-supp,
1,"dem Chef erklären, warum ich nicht im Zeitplan bin",sitcon,
1,"Ich rede mit ihm & verdeutliche ihm, dass er es so schnellst wie möglich machen soll",sitcon,
1,Vorgesetzten melden bzw. Kollege tauschen,sitcon,
1,Dem Chef die Situation erklären,sitcon,
1,Den Kollegen auffordern schnellstmöglich nachzuliefern,sitcon,
1,"den Kollegen Vorschläge machen, wie er es in Zukunft besser machen könnte",reapp,
1,Ich werte die Wichtigkeit seiner Aufgabe ab,reapp,
1,"Ich versuche nachzuvollziehen, wieso er mir zu spät Bescheid gegeben hat",reapp,
1,"dem Kollegen mitteilen, dass ich verärgert bin",sitcon,
1,ich werde mich nicht mehr auf ihn verlassen,reapp,
1,sich selbst um die Information kümmern,sitcon,
1,Ich zögere den Zeitplan hinaus.,sitcon,
1,"den Kollegen sagen, dass man sein Verhalten nicht in Ordnung findet",sitcon,
1,Information selbst einholen,info,
1,Sport machen,dist,
1,Ihn bitten die Information das nächste Mal rechtzeitig bereitzustellen,reapp,
1,"mit dem Kollegen reden & ihm erklären, was das für Auswirkungen auf mich hat",instr-supp,
1,"Ihr sagen, dass es beim nächsten Mal sicher klappt.",reapp,
1,Ärger kommunizieren & mit Kollegen Lösung finden,sitcon,
1,Ich schlage vor zusammen zu arbeiten,instr-supp,
1,Ich frage ihn nach Gründen f. sein Verhalten,instr-supp,
1,Ich versuche die Sache dennoch bestmöglich zu erledigen.,reapp,
1,Ich helfe meinem Kollegen bei seiner Aufgabe,sitcon,
1,"Die Situation so hinnehmen, wie sie ist",reapp,
1,Eine *** überlegen wie in Zukunft das nicht passieren kann.,reapp,
1,"Zurücklehnen, weil die Verantwortung abgegeben ist.",reapp,
1,Den Fehler mit ihr durchgehen und ihr erklären,sitcon,
1,Ich verlass mich nicht mehr auf ihn und vergesse meinen Ärger,reapp,
1,in Zukunft möglichst verspätung einplanen,sitcon,
1,wir bitten um mehr Zeit,instr-supp,
1,Ich ändere meinen Zeitplan und versuche die Zeit bis dahin sinnvoll zu nutzen.,sitcon,
1,länger Arbeiten um Verspätung nachzuholen,sitcon,
1,Kollegen fragen woran es lag,instr-supp,
1,"Ich sage ihm, dass sich sein Verhalten auf mich auswirkt",expr,
1,Fokus auf Schritte die gerade warten müssen für bestes Ergebnis,sitcon,
1,dem Kollegen Hilfe anbieten (sofern das möglich ist),sitcon,
1,"Ich erinnere mich daran, dass dies kein Weltuntergang ist",reapp,
1,Pause vorverlegen um Leerlauf zu vermeiden,sitcon,
1,"Ich versuche irgendwas, dass es sich doch noch rechtzeitig ausgeht",sitcon,
1,"Ich biete ihm Hilfe an, damit er möglichst bald die Infos für mich hat",sitcon,
1,Auffordern nächstes mal schneller,sitcon,
1,Ich verlasse mich in Zukunft nicht mehr auf den Kollegen,reapp,
1,Ich versuche ohne die Info weiterzuarbeiten.,reapp,
1,"Ich schnauz ihn vllt an, wenn es sehr knapp ist.",expr,
1,Meditieren,relax,
1,Problem besprechen,instr-supp,
1,ich bitte sie um Hilfe um noch rechtzeitig fertigzuwerden,instr-supp,
1,"Ich versuche ihm zu helfen, sodass er es vielleicht doch rechtzeitig schafft.",sitcon,
1,"Mich darauf konzentrieren, dass ich schneller fertig werde",reapp,
1,Ihn konstruktiv darauf ansprechen,expr,
1,Ich lenke mich mit etwas Angenehmen von dem Ärger ab.,dist,
1,"Ich bitte ihn, mir das nächste Mal früher Bescheid zu geben",reapp,
1,Auf Umgang mit der aktuellen Problemstellung einstellen/fokussieren,reapp,
1,mit anderen Kollegen reden,social-supp,
1,Ich rauche eine Zigarette,subst-alc,
1,"Ich bitte ihn, dass er es das nächste mal besser macht",reapp,
1,Kollegen helfen,sitcon,
1,Die Situation der Kollegen versuchen zu verstehen,sitcon,
1,"Rufe eine Freundin an, Frust ablassen",expr,
1,Wir versuchen gemeinsam eine geeignete Lösung zu finden,sitcon,
1,Ich ärgere mich und rede nicht mehr mit ihm,withdr,
1,Ich rede mit Freunden über die Situation,social-supp,
1,"wenn die Situation sich häuft, werde ich Konsequenzen ziehen müssen",sitcon,
1,"Ihn darauf ansprechen, dass mich das ärgert",sitcon,
1,Ich sage ihm was los ist und wie ich empfinde.,sitcon,
1,ich gebe ihm in zukünftigen Projekten weniger Verantwortung ,reapp,
1,"ich suche ein Gespräch mit ihm, versuche den Druck rauszunehmen",sitcon,
1,Kollegen unterstützen/besseres Arbeiten beibringen,sitcon,
1,Ich kann meinen Zeitplan sicherlich noch anpassen (Deadline verschieben),sitcon,
1,ich bitte den Chef um mehr Zeit,instr-supp,
1,Ich versuch die Arbeit zu erledigen,sitcon,
1,Mich bei Freunden auslassen,social-supp,
1,Ich frage einen anderen Kollegen nach der Info,info,
1,Kollegen bieten in Zukunft Infos schneller bereitzustellen,reapp,
1,Kollegen anschreien,expr,
1,ich beruhige mich und rufe meinen Kollegen an (um ihn darauf anzusprechen),sitcon,
1,Chef melden,sitcon,
1,"Ich entspanne mich und geniesse die „freie“ Zeit, bis auch ich weiterarbeiten kann",relax,
1,versuche zu verstehen warum er nicht rechtzeitig war,reapp,
1,Buch lesen,relax,
1,Anfrage auf Hilfe  bei Teamkollegen Kompensation,instr-supp,
1,"Ich akzeptiere, dass ich den Zeitplan auch nicht einhalten kann",reapp,
1,Ihn bitten die Information so schnell wie möglich bereitzustellen.,info,
1,"Ich verpetze meinen Kollegen, In Zukunft werde ich",reapp,
1,"Erst einmal eine Runde spazieren/joggen/skaten gehen, sodass der erste Ärger sich ein wenig legt.",dist,
1,"man kann sich ablenken, bis die Information da ist",dist,
1,Überstunden schieben,sitcon,
1,"Mit Kollegen reden, dass die Kommunikation in Zukunft besser wird",reapp,
1,"ich erinnere mich daran, dass ich auch oft zu spät Infos bereitstelle",reapp,
1,Ich helfe ihm die Aufgabe rechtzeitig fertig zu bekommen,sitcon,
1,Ich gehe boxen oder Bäume aufschreiben um Frust abzulassen,expr,
1,Vorgesetzten um ein bisschen mehr Zeit bitten,instr-supp,
1,Projektmanager/Chef melden,instr-supp,
1,"dem Kollegen mitteilen, dass man verärgert ist",expr,
1,Nach dem Grund fragen,info,
1,"Anbieten, es das nächste Mal gemeinsam zu machen.",reapp,
1,mit Freunden darüber aufregen,expr,
1,"Dem Kollegen sagen, man würde in Zukunft nicht mehr mit ihm arbeiten wollen",reapp,
1,mich über ihn aufregen,expr,
1,"akzeptieren, dass der Zeitplan nicht eingehalten werden kann",reapp,
1,"Ich frage, was schief gelaufen ist.",sitcon,
1,Andere gute Eigenschaften des Kollegen „auflisten“,reapp,
1,mit meinem Kollegen darüber sprechen,info,
1,"sich nächstes Mal gleich verhalten, wie er",reapp,
1,"frage ihn, ob er eventuell viel Stress ausserhalb der Arbeit hat oder warum sein Verhalten so ist",info,
1,Ärger runterschlucken & Lösung alleine finden,suppress,
1,Ich bitte jemanden anderen um die Informationen.,info,
2,betrinken (wenn kein Meeting am gleichen Tag),subst-alc,
2,Vorher einen Joint rauchen,subst-alc,
2,Die Emotionen des Scheiterns wurde viel länger anhalten als die Flugangst.,self-en,
2,Vertrag ablehnen,sitcon,
2,Ich versuche meine Angst zu lindern (z.B. Statistiken zur „Flugzeug-Sicherheit“ suchen.,info,
2,"ich überlege mir, ob ich diesen Job wirklich will und das Fliegen auf mich nehmen will",reapp,
2,Ich wäge ab was mir wichtiger ist.,reapp,
2,Ich versuche meine Sorge mir nahe stehenden Personen mitzuteilen.,social-supp,
2,Vorteile und Nachteile aufzählen,info,
2,"Versuchen meine Flugangst zu überwinden, indem ich drüber mit Freunden spreche",social-supp,
2,"Ich frage das Unternehmen, ob man das anders lösen kann.",sitcon,
2,„durchbeissen“,suppress,
2,Mut zu sprechen,self-en,
2,Direkter Umzug,sitcon,
2,"Ich frage einen Vertrauten, ob er/sie mich begleiten kann",instr-supp,
2,Ich koennte eine Freundin/Freund um Begleitung bitten.,instr-supp,
2,"Ich frage, ob mich eine Person begleiten kann",instr-supp,
2,eine Freundin zur Beruhigung mitnhemen,instr-supp,
2,Ich packe eine Tasche mit Stofftier und Snacks und Kopfhörern als Beruhigungshilfen,relax,
2,Ich bitte das Unternehmen um andere Optionen (von zu Hause aus arbeiten),sitcon,
2,"Ich danke an den Vertrag und daran, dass dieser wichtiger ist als meine Flugangst",reapp,
2,An diesen Ort übersiedeln,sitcon,
2,Ich versuche mich auf den schönen Ausblick zu freuen.,reapp,
2,ich kaufe mir ein starkes Schlafmittel und nehme Vertrag an,subst-med,
2,Daran denken wie gut Vertrag ist,reapp,
2,ich betrinke mich vor dem Flug oder konsumiere andere Drogen zur Beruhigung,subst-med,
2,ich lese Erfahrungsberichte von anderen Menschen mit Flugangst,info,
2,bitte eine Bezugsperson mich zu begleiten,instr-supp,
2,Filme/Serien schauen während dem Flug,dist,
2,"Schaue, ob man das Problem mit Beruhigungsmitteln lösen kann",subst-med,
2,sich während dem Flug ablenken,dist,
2,ablenkende Sachen für Flug überlegen,dist,
2,lasse mich von Freunden beruhigen (& Familie),social-supp,
2,"ich bitte eine mir vertraute Person, mitzufliegen (ala geteiltes Leid ist halbes Leid)",instr-supp,
2,Vertrag ablehnen wenn man sich Angst nicht stellen will,withdr,
2,"Partner/beste Freunden bitten, mitzukommen",instr-supp,
2,"Beruhigungstechniken lernen, um in der Situation entspannen zu sein",relax,
2,Ich rede mit Freunden/Familie darüber,social-supp,
2,Ich spreche mit Freunden & Familie darüber um sichere Gedanken zu bekommen.,social-supp,
2,"Bewusst mach, dass keine logische Angst ist",reapp,
2,"Ich nutze die Herausforderung, um mich meiner Flugangst zu stellen",reapp,
2,„Einfach Augen zu und durch“,suppress,
2,"Ich bitte eine mir nahe Person mitzukommen, da die Angst dann geringer ist.",instr-supp,
2,Gespräch mit Arbeitgeber 1. anderer Unternehmensort,instr-supp,
2,Nehme eine Person mit (FreundIn) zur emot. Unterstützung,instr-supp,
2,"Mich damit trösten, dass etwas Grossartiges auf mich wartet",reapp,
2,jemanden die Sorgen erzählen,social-supp,
2,Ich versuche zu schlafen.,relax,
2,Eine vertraute Begleitperson mitnehmen,social-supp,
2,Ich schaue mir Zahlen zu Verkehrstoten und Flugzeugabstürzen an und werde mir der Relevanz meiner Angst bewusst.,info,
2,Ich hinterfrage warum ich angst habe.,reapp,
2,Mit Freundin reden,social-supp,
2,"ich ziehe auf Dauer an den Ort, (kein hin- & herfliegen)",sitcon,
2,Betrunken ins Flugzeug steigen,subst-alc,
2,Ich spreche mit Freunden und Verwandten über das Problem,social-supp,
2,Ich frage eine(n) FreundIn ob er/sie mitkommt,instr-supp,
2,"Ich stelle mir vor, dass der Vortrag die Angst wert ist",reapp,
2,Bewältigungsstrategien zurechtlegen,info,
2,mit Freunden reden,social-supp,
2,Meditieren (beim/vorm Fliegen),relax,
2,ich suche nach Tipps im Internet und in Büchern,info,
2,bildliche Vorstellung von neuem Arbeitsplatz,reapp,
2,"schlafen gehen, damit man nichts mitkriegt",dist,
2,"wäge ab, ob sich das Risiko auszahlt",reapp,
3,"sich informieren, wie man Verwandten helfen könnte",info,
3,Ich lebe mein Leben normal weiter,reapp,
3,Alkohol/Drogenexzess,subst-alc,
3,Ich versuche ihm/ihr bestmöglich Beistand zu leisten in dieser schweren Zeit,sitcon,
3,Ich schreibe alles auf.,info,
3,andere Verwandte anrufen,social-supp,
3,mich ausheulen,expr,
3,von Verwandten mehr Details erfahren,info,
3,Ich erkundige mich bei Ärzten wie/ob ich irgendwie helfen kann,info,
3,Ablenkung suchen,dist,
3,"ich rede mit der Person, und versuche sie zu motivieren, schnellstmöglich wieder gesund zu werden",sitcon,
3,Ich spreche mit meiner Familie darüber,social-supp,
3,Ich lese Bücher über Bewältigungsstrategien,info,
3,Ich wende mich an meine Freunde,social-supp,
3,Mit Freunden etwas unternehmen,dist,
3,Ich schreibe eine Kurzgeschichte/Impression.,dist,
3,Sport betreiben,dist,
3,Ich nehme mir Zeit fuer mich um zu trauern/alleine zu sein/zu beruhigen,expr,
3,Eine Dankbarkeitsliste schreiben,dist,
3,sich aufregen bis man emotional ruhiger ist,expr,
3,"Nach Zustand des Verwandten fragen, im Krankenhaus",info,
3,ich verabschiede mich von dem Verwandten,reapp,
3,weinen,expr,
3,kleinen Schönheiten im eigenen Alltag suchen und fokussieren,reapp,
3,Auf hier & jetzt fokussieren und nicht in d,reapp,
3,ziehe mich zurück,withdr,
3,Ich versuche einen Weg zu finden sie zu unterstützen,sitcon,
3,"Ich sage mir, dass solche Situationen im Leben normal sind & ich lernen muss damit umzugehen",reapp,
3,Für die Person beten.,dist,
3,mit Freundinnen reden,social-supp,
3,Beten,dist,
3,Ich spreche mit Freunden/Verwandten über die Situation,social-supp,
3,Rede mit Familie,social-supp,
3,verbringe viel Zeit mit meinen Freunden,dist,
3,Versuche für andere Verwandte da zu sein.,dist,
3,Der Trauer nachgeben und diese verarbeiten zu versuchen.,expr,
3,weinen,expr,
3,Ich rufe meine Mutter an und rede mit ihr darüber,social-supp,
3,"Ich frage meine Verwandten, wie ihr Plan aussieht",social-supp,
3,Ich unternehme eine Reise um auf andere Gedanken zu kommen,dist,
3,feiern gehen,dist,
3,sich ablenken,dist,
3,Ich spreche mit meiner Familie darüber,social-supp,
3,anderen Verwandten helfen damit umzugehen,dist,
3,Lernen,info,
3,"ich versuche mich nicht zu sehr davon emotional vereinnahmen zu lassen, um Staerke zu wahren",reapp,
3,vom Besten ausgehen,reapp,
3,Ich rede mit Freunden und Familie über meine Trauer.,social-supp,
3,Ich akzeptiere die Situation und besuche sie,reapp,
3,Ich beruhige mich u. vertraue auf die Ärzte im KH.,reapp,
3,Ich rede mit anderen Verwandten.,social-supp,
3,Auseinandersetzung mit „Memento Mori“,info,
3,Ich bin bei ihnen und helfe ihnen so gut es geht.,sitcon,
3,Mit anderen Verwandten darüber reden,social-supp,
3,"Ich rufe meine Mutter an und bitte sie, um Rat zum Umgang damit.",social-supp,
3,Ein Geschenk für sie besorgen,sitcon,
3,Gespräch mit Freunden suchen,social-supp,
3,Abwägen des Energieinputs je nach Hilfemöglichkeit,reapp,
3,Spazieren gehen,dist,
3,Meditieren,relax,
3,"den Verwandten mit Haushalt, angefallenen Aufgaben, … helfen",dist,
3,Tief durchatmen,relax,
3,der Verwandten so gut wie möglich helfen,reapp,
3,mich ablenken,dist,
3,"ich kümmere mich um die schwer Kranken, indem ich mit ihnen viel rede",sitcon,
3,ich bringe der erkrankten Person Blumen & Schokolade,sitcon,
3,Nachdenken über gemeinsame Erlebnisse,dist,
3,"Ich rede mit den Ärzten, um mich nicht in Fantasievorstellungen zu verlieren",info,
3,Ich fahre zu meinen Verwandten und spreche mit ihnen darüber,social-supp,
3,"Ich koche etwas, das ich mit ihnen verbinde.",dist,
3,an gemeinsame Momente erinnern,reapp,
3,mit dem Dr. reden,info,
3,Den Verwandten etwas gutes tun,sitcon,
3,Andere Verwandten anrufen und nach Details fragen.,social-supp,
3,wenn nötig ein Urlaub nehmen von der Arbeit um sich zu fangen,dist,
