Item,ER Suggestion,Label,New Label
7,Vorgesetzten darauf ansprechen,sitcon,
6,"von Chef nochmal hören, dass man gut ist",social-supp,
7,"Ich versuche anzumerken, dass diese Info fehlt",sitcon,
4,"Zeigen, beweisen, dass das nicht der Fall ist",sitcon,
6,sich vergleichen mit anderen Leuten,self-en,
4,Fragen was sie zu dieser Einschätzung bewegt,info,
6,Mit Freunde unterhalten über eigene Empfindungen,social-supp,
6,Mit einer Freundin treffen und darüber reden.,social-supp,
9,"Ich frage ihn, warum wir uns nicht mehr treffen",info,
1,Information selbst einholen,sitcon,
4,Energie aus Ärger nutzen und Gegenteil beweisen,sitcon,
5,Temporäre Natur des Problems vor Augen führen,reapp,
7,Ich fordere eine Korrektur des Zwischenberichts,sitcon,
8,Essen bestellen um nicht noch mehr Stress zu erzeugen,sitcon,
4,Ich probiere eine neue Sportart aus,withdr,
9,"Ich sage dem Kollegen, dass ich es schade finde",expr,
6,"versuchen, dem Chef zu glauben",reapp,
6,"Plan machen, was beim nächsten Mal besser machen könnte",reapp,
6,"mit dem Klienten darüber reden, mir seine Vorstellungen anhören",info,
6,Mit Arbeitskollegen sprechen,social-supp,
5,Viel lernen um mögliche Schwächen zu überdecken,sitcon,
7,Unterstützung in Team sichern falls Chefetage sich beschwert,instr-supp,
8,"Ich sage mir, dass Aufregung ok ist und dass es gut ist aufgeregt zu sein",reapp,
6,"Versuche herauszufinden, was meinen Klienten stört",info,
2,Ich bleibe hier und versuche hier etwas besseres zu finden,withdr,
4,zur Rede stellen,info,
5,Nicht auf eigene negative Gedanken hören,suppress,
9,einen anderen Gesprächspartner finden,,
2,Ich versuche mich in einem Simulator mit der Situation vertraut zu machen.,sitcon,
5,Ich hole mir Tipps wie ich auf ihr Level komme,instr-supp,
2,zu müde zum denken beim fliegen sein,sitcon,
1,Ich arbeite nicht mehr mit meinem Kollegen zusammen,reapp,
7,in die Arbeit vertiefen,dist,
1,Herauszufinden warum er das nicht konnte,info,
7,Ich suche den Schuldigen,sitcon,
8,"Ich sage meiner Familie, dass ich keinen Stress möchte und setze nur die zusammen, die sich vertragen",sitcon,
5,"Ich mache mich auf die Suche nach Leuten, die an einer Lerngruppe interessiert sind.",instr-supp,
3,Ich frage mich warum ich traurig bin,other,reflect
3,Tagebuchh,other,reflect
4,Ich stelle sie zur Rede und frage nach dem Grund.,info,
4,Ich stelle besagte Spieler zur Rede,info,
3,Ich finde Frieden mit dem Gedanken an den Tod (dass er natürlich ist),other,accept
6,Ich kümmere mich nicht darum & mache weiter um meine Arbeit,other,accept
8,lade die Grossfamilie wieder aus,withdr,
2,ich gebe mir selbst Bedenkzeit,other,reflect
1,"sage ihm normal, dass es mich ärgert, > nächstes Mal besser machen",expr,
9,Sich jemand anderen aus der „Arbeitsgruppe“ suchen,other,accept
4,Versuchen eigene Fehler zu erkennen,other,accept
1,seine Seite verstehen zu versuchen,other,reflect
6,"Ich stelle eine Liste auf, was ich falsch gemacht haben könnte.",other,reflect
1,ich bitte meinen Kollegen die Aufgabe schnell zu erledigen/die Infos zu bringen,sitcon,
9,ihn anrufen & fragen wie es ihm geht,sitcon,
7,informiere über das fehlende Mittel,sitcon,
3,"Ich spreche mich Freunden, die ähnliches erlebt haben.",social-supp,
1,Ablenkung suchen,dist,
7,Ich versuche den Rückstand wieder aufzuholen.,sitcon,
2,tief durchatmen und beten,relax,
9,Geniesse die Zeit mit mir und gehe auch ab und zu alleine ins Cafe (behalte das Ritual trotzdem).,other,accept
1,dem Chef berichten,instr-supp,
3,Ich rede mit Freunden/Familie über den Kummer,social-supp,
1,"Ich versuche zu verstehen, warum er die Info nicht rechtzeitig hatte",other,reflect
6,Mit einem guten Freund darüber sprechen,social-supp,
1,arbeite mehr auch zuhause,sitcon,
9,Pflege alte Freundschaften,,
5,"Ich versuche neue Leute kennenzulernen, denen es ähnlich geht.",social-supp,
4,"Andere Meinungen koennen mir egal sein, solange ich Spass habe",reapp,
9,Ich treffe mich mit anderen Kollegen,other,accept
4,Ich suche das offene Gespräch mit dem Mitspieler/der Mitspielerin.,info,
1,gemeinsam mit dem Kollegen Info heranziehen,sitcon,
7,Ich unternehme nichts und mache weiter,suppress,
1,sich in die Situation des gegenübers hineinversetzen,other,reflect
2,Mit der Jobaussicht abschließen und auf andere (nähere) Stellen bewerben,withdr,
7,Schiebe übermässige Arbeit an jmd anders ab,sitcon,
7,Plane in Zukunft mehr Zeit für mögl. Komplikationen ein.,reapp,
2,An die vielen Vorteile des Vertrags denken.,reapp,
9,ich versuche in die gleiche Abteilung zu kommen,sitcon,
6,"Hinterfragen warum ich mich schlecht fühle, Chef sagt gut!",other,reflect
8,ich bitte streitoffene Personen sich zusammenzureissen,sitcon,
2,Ich suche mir Hilfe/rede mit anderen darüber (Freunde/Therapeut),instr-supp,
7,Positive Gedanken machen,reapp,
7,Ich lasse meiner Wut kurz freien Lauf um mich wieder konzentrieren zu können.,expr,
6,sich darüber bei jemandem aufregen,expr,
3,"Arbeit erledigen, statt daran zu denken",dist,
1,Unternehme etwas mit Freunden,dist,
5,damit abfinden,other,accept
8,"Ich schreibe eine Liste, um meine Gedanken zu ordnen.",sitcon,
2,Freund/Familienmitglieder fragen ob er/sie mitkommen wprde,instr-supp,
