Item,ER Suggestion,Label,New Label
1,Information selbst einholen,info,
1,Ich arbeite nicht mehr mit meinem Kollegen zusammen,sitcon,
1,Herauszufinden warum er das nicht konnte,info,
1,"sage ihm normal, dass es mich ärgert, > nächstes Mal besser machen",reapp,
1,seine Seite verstehen zu versuchen,sitcon,
1,ich bitte meinen Kollegen die Aufgabe schnell zu erledigen/die Infos zu bringen,instr-supp,
1,Ablenkung suchen,dist,
1,dem Chef berichten,sitcon,
1,"Ich versuche zu verstehen, warum er die Info nicht rechtzeitig hatte",info,
1,arbeite mehr auch zuhause,sitcon,
1,gemeinsam mit dem Kollegen Info heranziehen,info,
1,sich in die Situation des gegenübers hineinversetzen,reapp,
1,Unternehme etwas mit Freunden,dist,
1,mit Kollegen reden warum er zu spät war,sitcon,
1,"Fragen, wo das Problem lag",sitcon,
1,Bei anderen Kollegen lästern,sitcon,
1,"den Ärger verdrängen, stattdessen auf möglichst produktive Arbeit konzentrieren (Schadensbegrenzung)",suppress,
1,Eine Entschuldigung erwarten,reapp,
1,Ich mache einen kurzen Spaziergang.,dist,
1,Ich fragen was ihn von Pünktlichkeit abgehalten hat,info,
1,Das nächste mal mit jemand anderem Zusammenarbeiten,reapp,
1,Versuchen ruhig zu bleiben,reapp,
1,Ich werde flexibler was meinen Zeitplan betrifft,sitcon,
1,Eine Zigarette rauchen und sich abreagieren.,subst-alc,
1,Problem ignorieren und Schuld auf Kollegen schieben wenn Aufgabe nicht erledigt wurde,sitcon,
1,wir bitten zusätzlich um jemanden der uns hilft,instr-supp,
1,ich mache einen Spaziergang in der Natur,dist,
1,"Mit dem Kollegen reden, den Kollegen verstehen",instr-supp,
1,Mit dem Chef reden und die Situation erklären,instr-supp,
2,Ich bleibe hier und versuche hier etwas besseres zu finden,sitcon,
2,Ich versuche mich in einem Simulator mit der Situation vertraut zu machen.,info,
2,zu müde zum denken beim fliegen sein,sitcon,
2,ich gebe mir selbst Bedenkzeit,sitcon,
2,tief durchatmen und beten,relax,
2,Mit der Jobaussicht abschließen und auf andere (nähere) Stellen bewerben,sitcon,
2,An die vielen Vorteile des Vertrags denken.,reapp,
2,Ich suche mir Hilfe/rede mit anderen darüber (Freunde/Therapeut),theraphy,
2,Freund/Familienmitglieder fragen ob er/sie mitkommen wprde,social-supp,
