Item,ER Suggestion,Label,New Label
1,"Mit dem Kollegen reden, den Kollegen verstehen",info,
1,"Ich sage ihm, dass sich mein Zeitplan deswegen jetzt leider total verschoben hat",expr,
1,"kümmere mich selbst darum, ordne Termine neu",sitcon,
1,Versuchen ruhig zu bleiben,relax,
1,Zeitmanagement neu einteilen,sitcon,
1,gemeinsam mit dem Kollegen Info heranziehen,sitcon,
1,in mein Tagebuch schreiben,expr,
1,Ich helfe ihm bei der Bereitstellung.,sitcon,
1,Gehe zum Sport,dist,
1,"Mit meinem Kollegen über die Situation reden; fragen, weshalb er den Zeitplan nicht einhalten konnte.",info,
1,ihn anbrüllen,expr,
1,"Ich bitte ihn mir, dass nächste Mal früher Bescheid zu geben.",sitcon,
1,"Ich weise meinen Kollegen höflich darauf hin, dass er nächstes Mal gewissenhafter arbeiten soll",info,
1,"Ich suche ein Gespräch mit ihm, damit kein Ärger zurückbleibt.",info,
1,Die Situation beim nächsten Mal in die Wahrsch. mit einbeziehen,sitcon,
1,"ich ziehe mich zurück, um nicht den Ärger bei ihm rauszulassen",withdr,
1,selbst recherchieren,sitcon,
1,zum Kickboxen gehen,dist,
1,Mit dem Kollegen Kontakt abbrechen,withdr,
1,"wenn er die Information rechtzeitig bekommt, lade ich ihn auf einen Kaffee ein",sitcon,
1,Aufteilung der Aufgaben neu planen,sitcon,
1,"Versuchen, den Zeitplan für uns beide in Zukunft günstig zu restrukturieren",sitcon,
1,Ich mache Überstunden,sitcon,
1,Kollege konfrontieren,expr,
1,mache noch einmal Druck,sitcon,
1,"Ich überlege, ob diese Information wirklich so wichtig ist",reapp,
1,sich in die Situation des gegenübers hineinversetzen,reapp,
1,Ihn darauf ansprechen,info,
1,Ich fragen was ihn von Pünktlichkeit abgehalten hat,info,
1,"Fragen, wo das Problem lag",info,
1,"Dir bewusst machen, dass jedem Fehler unterlaufen",reapp,
1,Ihn nächstes Mal rechtzeitig erinnern,sitcon,
1,Spaziergang in der Natur,relax,
1,Ich lasse meinen Ärger für einige Minuten einfach zu,expr,
1,Ich mache eine Pause und hole mir ein warmes Getränk,eat-drink,
1,Ich frage einen anderen Kollegen,instr-supp,
1,Vorgesetztem Bescheid geben,instr-supp,
1,"Ich versuche, mich von dem Zeitplan nicht mehr unter Druck setzen zu lassen und entspanne mich.",relax,
1,Ihn darauf ansprechen,info,
1,"mich ärgern, aber ihm nichts sagen",suppress,
1,Ich spreche den Kollegen auf das entstandene Problem an,info,
1,Information selbst einholen,info,
1,Ich frage nach dem Grund,info,
1,"erklären, dass der eigene Zeitplan darunter leidet",info,
1,Ich mache einen kurzen Spaziergang.,dist,
1,Ich kläre ihn auf und versuche die Zeit wieder aufzuholen,sitcon,
1,Bei anderen Kollegen lästern,expr,
1,"I, helfen, dass er die Info schneller findet",sitcon,
1,"den Ärger verdrängen, stattdessen auf möglichst produktive Arbeit konzentrieren (Schadensbegrenzung)",suppress,
1,fragen warum nicht rechtzeitig fertig,info,
1,sich in seine Lage versetzen & das Beste daraus machen,reapp,
1,"Ich sage ihm, dass ich das nicht ok finde & drohe damit beim nächsten Mal unseren Chef zu informieren",expr,
1,Eine Zigarette rauchen und sich abreagieren.,subst-alc,
1,Ablenken,dist,
1,ich nehme mir einen anderen Zeitplan vor,sitcon,
1,"spreche mit Kollegen, dass dass das so nicht okay war",expr,
1,"Kollegen bitten, in Zukunft mehr darauf zu achten, alles bereit zu haben",info,
1,Frage Chef ob man es etw. später abgeben kann.,sitcon,
1,sich ablenken,dist,
1,Ich werde flexibler was meinen Zeitplan betrifft,sitcon,
1,fragen woran es gescheitert ist,info,
1,um Dampf abzulassen rede ich mit Freunden,social-supp,
1,ich mache einen Spaziergang in der Natur,relax,
1,Ich kümmere mich selbst um d. wichtige Information,sitcon,
1,dem Kollegen helfen,sitcon,
1,es mit lauter Musik versuchen selbst zu beheben,dist,
1,"Ich frage ihn nach den Gründen, wieso er die Information nicht rechtzeitig eingereicht hat",info,
1,"Ich sage ihm wenn er es nicht schafft soll er sich das nächste mal melden, damit wir zusammen schauen können, wie wirs schaffen",sitcon,
1,"Ich frage den Kollegen, ob er dafür einen Teil meiner Arbeit übernimmt.",sitcon,
1,Um Verlängerung der Zeit bitten,instr-supp,
1,"ich bete meinen Kollegen, dass er in Zukunft besser organisiert sein sollte ",expr,
1,Ablenkung suchen,dist,
1,Dem Kollegen bei der Arbeit helfen,sitcon,
1,Warte einfach ab,withdr,
1,"Ich versuche zu verstehen, warum er die Info nicht rechtzeitig hatte",reapp,
1,"sage ihm normal, dass es mich ärgert, > nächstes Mal besser machen",expr,
1,"Ich versuche die Information abhängig von ihm zu beschaffen, um meinen Zeitplan einzuhalten.",sitcon,
1,ich bitte meinen Kollegen die Aufgabe schnell zu erledigen/die Infos zu bringen,info,
1,Luft bei anderen Personen auslassen,social-supp,
1,Ich sprech ihn drauf an,info,
1,seine Seite verstehen zu versuchen,reapp,
1,mit Kollegen reden warum er zu spät war,info,
1,Zeitplan anpassen,sitcon,
1,Ich unterstütze meinen Kollegen um schneller an die Information zu gelangen.,sitcon,
1,"Den Kollegen stressen, um Druck abzubauen",other,destr-soc
1,überlegen wie möglichst zeiteffizient nach Erhalt der Info arbeiten kann,sitcon,
1,Mit dem Kollegen reden und bitten es beim nächsten Mal besser zu machen.,sitcon,
1,stelle ihn zur Rede warum er so lange gebraucht hat,info,
1,Plane im Vorhinein genug Zeit ein um soetwas zu vermeiden.,sitcon,
1,"Ich erkenne meine eigene Schuld, dass ich nicht genügend vorausgeplant habe",other,self-depr
1,Kollegen über Ärger informieren,expr,
1,"ich konfrontiere ihn damit, dass ich verärgert bin",expr,
1,Ich beschimpfe ihn,expr,
1,Einen neuen Partner fragen,withdr,
1,"Vielleicht sind es externe Gründe, weshalb er den Zeitplan nicht einhalten konnte",reapp,
1,Mit dem Chef reden und die Situation erklären,instr-supp,
1,Ich versuche meine Aufgabe ohne seine Informationen fertig zu machen,sitcon,
1,nicht mehr mit dem Kollegen zusammenarbeiten,withdr,
1,Ich rede nicht mehr mit ihm,withdr,
1,"Ich informiere meinen Arbeitgeber, um mehr Freizeit zu bekommen.",other,destr-soc
1,"Ich stelle klar, dass das Verhalten nicht ok ist",expr,
1,dem Chef berichten,instr-supp,
1,Kollegen gut zureden und unterstützen,sitcon,
1,Ablenken,dist,
1,Er ladet mich dafür auf ein Essen ein,reapp,
1,"Ich arbeite mehr, um den Zeitplan einzuhalten",sitcon,
1,Zigarette rauchen,subst-alc,
1,"Ich helfe ihm, bei der Informationssuche",sitcon,
1,warte einfach geduldig auf die Information,suppress,
1,Ich lasse meiner Wut freien Lauf aber konzentriere mich dann auf die Fertigstellung,expr,
1,Ich stelle meine Kollegin zur Rede,info,
1,tief durchatmen,relax,
1,arbeite mehr auch zuhause,sitcon,
1,"Tee holen und eine kleine Pause machen, um den „Ärger“ zu „bändigen“",relax,
1,"mit ihm reden, woran es gescheitert ist",info,
1,Bei regelmässigen Fehlern arbeite ich nicht mehr mit ihm zusammen,withdr,
1,Bis die Information kommt andere Aufgaben erledigen.,sitcon,
1,Problem ignorieren und Schuld auf Kollegen schieben wenn Aufgabe nicht erledigt wurde,other,destr-soc
1,Kollege mit Strafe drohen,other,destr-soc
1,"Chef sagen, dass man nicht mehr den Druck hat für ihn schuldig sein zu können",instr-supp,
1,Ich arbeite nicht mehr mit meinem Kollegen zusammen,withdr,
1,"Ich setze ihn unter Druck, da es ja auch mich betrifft",sitcon,
1,wir bitten zusätzlich um jemanden der uns hilft,instr-supp,
1,ich rede mit dem Chef,instr-supp,
1,Herauszufinden warum er das nicht konnte,info,
1,Zeitplan anpassen,sitcon,
1,selbst die Info bereitstellen,sitcon,
1,Unternehme etwas mit Freunden,social-supp,
1,Den Kollegen unter Druck setzen.,sitcon,
1,Ich rege mich bei anderen Kollegen auf,social-supp,
1,"ruhe bewahren, das beste draus machen",reapp,
1,Das nächste mal mit jemand anderem Zusammenarbeiten,sitcon,
1,"dem Kollegen klar machen, dass es so nicht geht",expr,
1,Eine Entschuldigung erwarten,expr,
1,"Ich überlege, ob ich ihm im Vorhinein den Zeitdruck eindeutig klargemacht habe",other,reflect
1,Schuld auf den Kollegen schieben,sitcon,
1,vielleicht kann ein anderer Kollege die Information bereitstellen?,sitcon,
1,"meinen Kollegen evtl. helfen, damit er schneller fertig wird",sitcon,
1,Etwas trinken,eat-drink,
1,Selbst um Info kümmern (wenn möglich),sitcon,
1,wegen ihr daraufhin wie es für ihn sein würde,expr,
1,ich rufe eine gute Freundin an und lasse Dampf ab,social-supp,
1,"Ich sage meinem Kollegen, dass es ok ist, dass er das nächste Mal aber besser arbeite soll",info,
1,Über die Auswahl des Kollegen reflektieren.,other,reflect
1,Mich aus Situation herausnehmen,withdr,
1,ich rege mich bei einem Freund auf,social-supp,
2,Musik hören,dist,
2,sich mit Tranquilizern zuballern & fliegen,subst-med,
2,Strategien finden um ruhig zu bleiben,relax,
2,Fragen ob Videotelefonat nicht auch möglich sei.,sitcon,
2,Ich kaufe mir ein Buch gegen Flugangst,therapy,
2,Ich suche einen Spezialisten auf (gegen Flugangst bzw. richtiger Umgang),therapy,
2,auf die tollen Jobaussichten fokussieren,reapp,
2,"Fragen, ob die Arbeit auch über die Ferne möglich wäre.",sitcon,
2,Ich erfinde eine Ausrede um nicht hin zu müssen,withdr,
2,Person des Vertrauens mitnehmen,social-supp,
2,sich nicht festlegen zu fliegen und es auf einmal einfach machen,sitcon,
